volume peso recompensa duração(s)
19 3 1814 369
19 3 784 755
10 29 1488 1094
28 19 828 888
16 6 1188 697
13 23 1714 347
13 3 699 1056
26 19 1397 1043
7 7 501 800
9 13 1442 168
19 6 217 732
10 16 1202 634
19 25 305 782
26 6 1156 1073
29 13 1014 130
6 19 1243 977
3 22 940 937
7 29 743 826
16 28 875 1094
10 29 676 526
23 26 1913 600
16 6 1907 397
10 13 347 187
7 16 789 650
9 25 849 1008
6 22 597 540
3 23 571 632
13 16 1838 354
26 22 1065 616
7 13 734 917
19 3 1982 619
19 22 1260 355
10 29 1065 111
28 22 330 563
10 6 1765 970
3 10 984 463
6 16 618 1039
3 3 355 869
7 10 1672 419
22 28 1002 795
26 26 1170 838
7 20 1577 1043
22 19 602 291
6 6 779 122
26 29 267 777
19 28 486 840
16 3 279 744
7 26 1257 632
22 9 1805 279
6 16 647 872
20 20 418 893
19 9 1897 881
22 22 318 898
29 16 584 203
16 22 491 581
16 3 477 194
29 20 1972 641
9 16 814 281
13 6 1475 889
7 20 1241 674
16 28 1863 653
22 10 1233 546
20 13 848 198
22 22 626 1048
13 10 629 410
29 16 1442 123
19 16 1319 385
19 16 1012 845
20 16 1200 991
25 22 580 176
19 6 324 237
10 13 414 478
28 6 1953 299
16 29 1142 878
13 3 690 686
19 28 213 755
22 29 1448 487
26 7 618 442
19 28 512 778
6 13 1713 686
3 13 1313 1080
16 16 1633 195
6 29 834 900
20 3 1785 160
16 28 935 528
16 29 1083 521
7 7 828 643
28 6 1636 436
3 19 901 980
20 16 823 524
9 6 1467 681
3 13 355 737
20 23 1551 986
22 28 1717 549
29 10 243 775
13 23 916 1026
19 3 638 618
10 22 1694 969
13 26 1639 927
19 3 1547 279
13 6 1062 195
