volume peso recompensa duração(s)
13 6 1062 195
20 7 894 300
19 16 1489 751
19 19 1990 106
29 26 1522 215
16 3 704 1025
16 16 878 697
13 29 626 332
28 6 1208 309
19 19 1956 207
7 29 598 161
19 3 522 1009
26 26 1261 1009
20 13 1054 815
6 19 996 631
19 22 691 728
20 23 204 293
9 9 427 447
19 13 884 455
3 10 1791 520
19 13 1040 651
6 22 666 504
10 13 1315 328
13 6 1987 926
16 29 1002 441
29 23 1148 789
22 6 683 553
10 6 542 430
23 29 957 387
16 16 706 408
19 22 1897 986
13 13 967 355
25 13 546 1056
19 13 1875 107
29 10 1657 287
3 13 1306 202
16 3 227 464
13 20 1951 729
13 6 1699 1020
22 19 470 470
13 23 560 244
25 22 861 590
19 22 1440 777
23 23 1366 481
28 19 1240 826
26 6 774 314
23 7 936 609
19 16 1351 615
19 26 309 271
7 10 1630 963
22 22 265 766
29 19 1268 1095
23 29 1232 389
28 16 327 1010
22 3 1565 763
13 16 1785 297
13 6 580 558
22 29 1500 828
7 16 764 617
28 25 952 377
10 19 709 692
20 13 636 446
16 3 1518 1053
10 6 1747 577
23 3 1396 143
25 22 471 448
26 22 1513 447
3 3 699 786
3 13 530 916
6 10 465 900
3 13 751 234
6 6 1058 294
3 3 1563 535
10 23 1205 1088
6 19 1185 822
19 26 836 356
7 13 1210 414
6 19 406 430
16 16 772 229
3 23 697 699
19 22 1200 449
13 10 606 592
23 7 983 372
22 28 347 1058
16 16 527 1100
23 20 1786 1041
22 9 1509 598
6 10 713 921
20 16 851 446
25 13 609 1070
22 10 1848 196
3 16 1391 846
28 22 1166 491
26 29 610 917
16 29 1730 638
6 6 1921 197
26 22 1165 1100
23 16 1936 498
13 6 490 406
10 29 1194 399
23 23 881 353
